"Step","prior5-4cycle - train_metric","prior5-4cycle - train_metric__MIN","prior5-4cycle - train_metric__MAX"
"629","0.77856","0.77856","0.77856"
"630","0.77592","0.77592","0.77592"
"631","0.77728","0.77728","0.77728"
"632","0.774","0.774","0.774"
"633","0.77864","0.77864","0.77864"
"634","0.77208","0.77208","0.77208"
"635","0.7744","0.7744","0.7744"
"636","0.77088","0.77088","0.77088"
"637","0.7736","0.7736","0.7736"
"638","0.77008","0.77008","0.77008"
"639","0.77552","0.77552","0.77552"
"640","0.77408","0.77408","0.77408"
"641","0.7768","0.7768","0.7768"
"642","0.77224","0.77224","0.77224"
"643","0.77152","0.77152","0.77152"
"644","0.77368","0.77368","0.77368"
"645","0.7748","0.7748","0.7748"
"646","0.774","0.774","0.774"
"647","0.7768","0.7768","0.7768"
"648","0.7728","0.7728","0.7728"
"649","0.76736","0.76736","0.76736"
"650","0.7748","0.7748","0.7748"
"651","0.77088","0.77088","0.77088"
"652","0.76616","0.76616","0.76616"
"653","0.77144","0.77144","0.77144"
"654","0.77152","0.77152","0.77152"
"655","0.76928","0.76928","0.76928"
"656","0.76744","0.76744","0.76744"
"657","0.76944","0.76944","0.76944"
"658","0.77496","0.77496","0.77496"
"659","0.7664","0.7664","0.7664"
"660","0.7832","0.7832","0.7832"
"661","0.77232","0.77232","0.77232"
"662","0.7736","0.7736","0.7736"
"663","0.77776","0.77776","0.77776"
"664","0.77672","0.77672","0.77672"
"665","0.77472","0.77472","0.77472"
"666","0.76984","0.76984","0.76984"
"667","0.77032","0.77032","0.77032"
"668","0.77592","0.77592","0.77592"
"669","0.7656","0.7656","0.7656"
"670","0.77408","0.77408","0.77408"
"671","0.7708","0.7708","0.7708"
"672","0.77768","0.77768","0.77768"
"673","0.77264","0.77264","0.77264"
"674","0.77024","0.77024","0.77024"
"675","0.76688","0.76688","0.76688"
"676","0.76976","0.76976","0.76976"
"677","0.77016","0.77016","0.77016"
"678","0.76872","0.76872","0.76872"
"679","0.77608","0.77608","0.77608"
"680","0.77064","0.77064","0.77064"
"681","0.77256","0.77256","0.77256"
"682","0.77272","0.77272","0.77272"
"683","0.77112","0.77112","0.77112"
"684","0.7764","0.7764","0.7764"
"685","0.7684","0.7684","0.7684"
"686","0.7712","0.7712","0.7712"
"687","0.77216","0.77216","0.77216"
"688","0.7756","0.7756","0.7756"
"689","0.77304","0.77304","0.77304"
"690","0.77312","0.77312","0.77312"
"691","0.77288","0.77288","0.77288"
"692","0.77168","0.77168","0.77168"
"693","0.77728","0.77728","0.77728"
"694","0.77624","0.77624","0.77624"
"695","0.77752","0.77752","0.77752"
"696","0.76856","0.76856","0.76856"
"697","0.772","0.772","0.772"
"698","0.7784","0.7784","0.7784"
"699","0.7724","0.7724","0.7724"
"700","0.52072","0.52072","0.52072"
"701","0.5152","0.5152","0.5152"
"702","0.51616","0.51616","0.51616"
"703","0.51448","0.51448","0.51448"
"704","0.51664","0.51664","0.51664"
"705","0.518","0.518","0.518"
"706","0.52128","0.52128","0.52128"
"707","0.53744","0.53744","0.53744"
"708","0.53512","0.53512","0.53512"
"709","0.53208","0.53208","0.53208"
"710","0.53944","0.53944","0.53944"
"711","0.54664","0.54664","0.54664"
"712","0.5236","0.5236","0.5236"
"713","0.5244","0.5244","0.5244"
"714","0.5324","0.5324","0.5324"
"715","0.52928","0.52928","0.52928"
"716","0.70304","0.70304","0.70304"
"717","0.71736","0.71736","0.71736"
"718","0.72272","0.72272","0.72272"
"719","0.70968","0.70968","0.70968"
"720","0.7224","0.7224","0.7224"
"721","0.72528","0.72528","0.72528"
"722","0.72184","0.72184","0.72184"
"723","0.71784","0.71784","0.71784"
"724","0.72424","0.72424","0.72424"
"725","0.71656","0.71656","0.71656"
"726","0.73","0.73","0.73"
